,countries,leagues,home_teams,scores_for_home_teams,scores_for_away_teams,away_teams
0,EUROPE,Champions League - Group Stage,,,,
1,,,Paris SG,,,Club Brugge KV
2,,,RB Leipzig,,,Manchester City
3,,,AC Milan,,,Liverpool
4,,,Ajax,,,Sporting
5,,,Dortmund,,,Besiktas
6,,,FC Porto,,,Atl. Madrid
7,,,Real Madrid,,,Inter
8,,,Shakhtar Donetsk,,,Sheriff Tiraspol
9,ALBANIA,Superliga,,,,
10,,,Dinamo Tirana,-,-,Teuta
11,,,KF Tirana,-,-,Kastrioti
12,ARGENTINA,Liga Profesional,,,,
13,,,Newells Old Boys,0,0,Banfield
14,ARGENTINA,Primera Nacional - Promotion - Play Offs,,,,
15,,,Ferro,1,1,Quilmes
16,AUSTRALIA,FFA Cup,,,,
17,,,APIA Tigers,2,1,WS Wanderers
18,,,Western United,0,1,Wellington Phoenix
19,AZERBAIJAN,First Division,,,,
20,,,Sabah Baku 2,1,1,Qarabag 2
21,,,Zira 2,2,2,Neftci Baku 2
22,,,Sabail 2,2,3,Keshla 2
23,BELGIUM,1st National Women,,,,
24,,,Leuven II W,-,-,GBA Kontich W
25,BOLIVIA,Division Profesional,,,,
26,,,Wilstermann,3,0,Tomayapo
27,BOTSWANA,Premier League,,,,
28,,,Jwaneng Galaxy,0,0,Sua Flamingoes
29,,,Township Rollers,-,-,Orapa United
30,BRAZIL,Serie A,,,,
31,,,Cuiaba,1,0,Fortaleza
32,,,Flamengo RJ,0,1,Santos
33,,,Internacional,1,2,Atletico GO
34,,,Chapecoense-SC,0,1,Sport Recife
35,CHILE,Primera Division - Relegation - Play Offs,,,,
36,,,Deportes Temuco,1,0,Copiapo
37,CHINA,Jia League,,,,
38,,,Heilongjiang Ice City,4,0,Jiangxi Beidamen
39,,,Nanjing City,5,0,Xinjiang Tianshan
40,,,Shenyang Urban FC,0,2,Beijing Sport University
41,,,Sichuan Jiuniu,0,0,Suzhou Dongwu
42,CURAÇAO,Promé Divishon - Final Four,,,,
43,,,Victory Boys,0,1,Scherpenheuvel
44,,,Willemstad,0,1,Jong Holland
45,DR CONGO,Ligue 1,,,,
46,,,Lubumbashi Sport,1,2,AS Vita Club
47,ENGLAND,League One,,,,
48,,,Accrington,-,-,AFC Wimbledon
49,,,Charlton,-,-,Ipswich
50,,,Cheltenham,-,-,Cambridge Utd
51,,,Crewe,-,-,Lincoln
52,,,Doncaster,-,-,Oxford Utd
53,,,Fleetwood,-,-,Bolton
54,,,Portsmouth,-,-,Sheffield Wed
55,,,Rotherham,-,-,Gillingham
56,,,Sunderland,-,-,Morecambe
57,,,Wycombe,-,-,Burton
58,ENGLAND,League Two,,,,
59,,,Bristol Rovers,-,-,Port Vale
60,,,Exeter,-,-,Northampton
61,,,Harrogate,-,-,Forest Green
62,,,Leyton Orient,-,-,Swindon
63,,,Mansfield,-,-,Carlisle
64,,,Newport,-,-,Sutton
65,,,Oldham,-,-,Tranmere
66,,,Stevenage,-,-,Scunthorpe
67,,,Walsall,-,-,Crawley
68,ENGLAND,National League,,,,
69,,,Southend,-,-,Maidenhead
70,ENGLAND,National League North,,,,
71,,,Gateshead,-,-,York
72,,,Guiseley,-,-,Southport
73,ENGLAND,National League South,,,,
74,,,Hampton & Richmond,-,-,Braintree
75,ENGLAND,NPL Premier Division,,,,
76,,,Buxton,-,-,Scarborough
77,ENGLAND,Southern League Central Division,,,,
78,,,Alvechurch,-,-,Tamworth
79,,,Banbury,-,-,Biggleswade Town
80,,,Nuneaton,-,-,St. Ives
81,,,Stratford,-,-,Needham Market
82,ENGLAND,Southern League South Division,,,,
83,,,Chesham,-,-,Harrow
84,,,Taunton,-,-,Yate Town
85,,,Truro,-,-,Tiverton
86,,,Walton Casuals,-,-,Hayes & Yeading
87,ENGLAND,Isthmian League Premier Division,,,,
88,,,Bognor Regis,-,-,Corinthian-Casuals
89,,,Enfield Town,-,-,Bowers & Pitsea
90,,,Folkestone,-,-,Bishop's Stortford
91,,,Haringey,-,-,Worthing
92,,,Potters Bar,-,-,Kingstonian
93,ENGLAND,Professional Development League,,,,
94,,,Coventry U23,2,1,Peterborough U23
95,,,QPR U23,0,2,Swansea U23
96,,,Sheffield Utd U23,-,-,Crewe U23
97,ESWATINI,Swazi MTN Premier League,,,,
98,,,Manzini Wanderers,-,-,Royal Leopards
99,EUROPE,UEFA Youth League - Group Stage,,,,
100,,,Shakhtar Donetsk U19,6,0,Sheriff Tiraspol U19
101,,,RB Leipzig U19,0,1,Manchester City U19
102,,,Dortmund U19,3,1,Besiktas U19
103,,,Paris SG U19,0,2,Club Brugge U19
104,,,AC Milan U19,0,1,Liverpool U19
105,,,Ajax U19,2,0,Sporting U19
106,,,FC Porto U19,-,-,Atl. Madrid U19
107,,,Real Madrid U19,-,-,Inter U19
108,EUROPE,UEFA Youth League - Winners Play Offs,,,,
109,,,Rangers U19,-,-,Septemvri Sofia U19
110,GEORGIA,Crystalbet Erovnuli Liga 2 - Relegation,,,,
111,,,Tbilisi City,2,3,WIT Georgia
112,,,Rustavi,0,0,Poti
113,GERMANY,Regionalliga Bayern,,,,
114,,,Eltersdorf,-,-,Furth II
115,GUINEA,Ligue 1,,,,
116,,,Hafia,-,-,Elephant Coleah
117,,,Loubha,-,-,Sequence
118,INDIA,ISL,,,,
119,,,East Bengal,0,0,Goa
120,INDONESIA,Liga 1,,,,
121,,,PSS Sleman,1,1,Persipura Jayapura
122,,,Persita,2,3,PSIS Semarang
123,,,PSM Makassar,0,0,Persija Jakarta
124,ISRAEL,Leumit League,,,,
125,,,H. Akko,-,-,Maccabi Bnei Raina
126,,,Hap. Ramat Gan,-,-,Beitar Tel Aviv
127,,,Hapoel Umm al-Fahm,-,-,Agudat Sport Ashdod
128,,,M. Nazareth,-,-,Hapoel Kfar Saba
129,,,MS Kafr Qasim,-,-,H. Raanana
130,,,Nes Tziona,-,-,Hapoel Afula
131,,,Ramat Hasharon,-,-,Bnei Yehuda
132,ISRAEL,Liga Alef North,,,,
133,,,Hapoel Bnei Zalfa,0,0,Hapoel Kaukab
134,,,Hapoel Iksal Imad,1,5,Maccabi Tamra
135,LIBYA,Premier League,,,,
136,,,Al Taawun,-,-,Al Nasr
137,,,Shabaab Al Jabal,-,-,Darnes
138,,,Mahalla Tripoli,-,-,Abu Salim
139,,,Olympic Azzaweya,-,-,Al Shat
140,,,Al Tahaddi,-,-,Khaleej Sirte
141,MALTA,FA Trophy,,,,
142,,,Victoria Hotspurs,-,-,Zebbug
143,,,Mgarr,-,-,St. George's FC
144,MEXICO,Liga MX Women - Apertura - Play Offs,,,,
145,,,Guadalajara Chivas W,0,0,Club America W
146,,,U.A.N.L.- Tigres W,4,0,Cruz Azul W
147,,,Monterrey W,1,1,Club Tijuana W
